label,alias,timestamp,gender,ethnicity,ageGroup,source,faceAspectRatio,faceTaperRatio,lowerFaceFullness,upperFaceRatio,midFaceRatio,lowerFaceRatio,gonialAngle,intercanthalRatio,eyeFissureRatio,eyeCanthalTilt,eyebrowThickness,browEyeDistance,nasalWidthRatio,nasalHeightRatio,mouthWidthRatio,mouthCornerAngle,lipFullnessRatio,philtrumLength
standard,,2026-04-17T16:52:17.423046,female,eastAsian,thirties,album,1.24536,0.79972,0.51856,0.28247,0.30763,0.41088,140.77417,0.24816,0.20291,4.05814,0.03356,0.13365,0.86458,0.30763,0.31830,-0.18829,0.12200,0.11576
standard,,2026-04-17T16:51:53.861424,male,eastAsian,thirties,album,1.30833,0.79502,0.51306,0.28523,0.29265,0.42599,142.43422,0.25210,0.20297,2.64337,0.03185,0.12814,0.96027,0.29265,0.37123,0.06185,0.14153,0.10470
standard,,2026-04-17T16:51:06.776142,male,eastAsian,thirties,album,1.23482,0.78360,0.50396,0.29429,0.29336,0.41265,141.87703,0.25526,0.19910,3.10616,0.03349,0.13142,0.90661,0.29336,0.33542,-3.33929,0.13147,0.08416
wide,,2026-04-17T16:50:30.664919,female,eastAsian,thirties,album,1.21079,0.80276,0.51450,0.29389,0.32365,0.38248,141.27752,0.26835,0.20097,2.36959,0.03552,0.14952,1.09247,0.32365,0.45821,8.30555,0.13128,0.06011
standard,,2026-04-17T16:50:18.391329,female,eastAsian,thirties,album,1.22777,0.75155,0.47217,0.34326,0.34667,0.31010,146.38922,0.26048,0.22724,7.01542,0.04156,0.14461,0.92978,0.34667,0.38301,6.89178,0.08838,0.08951
standard,,2026-04-17T16:50:03.318458,female,eastAsian,thirties,album,1.31101,0.77207,0.49223,0.31550,0.29951,0.38503,140.71613,0.26254,0.20786,4.31934,0.03611,0.12086,0.86550,0.29951,0.33078,-1.18066,0.11385,0.09682
standard,,2026-04-17T16:49:39.747243,female,eastAsian,thirties,album,1.28328,0.76873,0.49839,0.32708,0.32644,0.34650,146.85342,0.28718,0.22350,6.38505,0.03678,0.12604,0.88176,0.32644,0.32109,0.68129,0.12776,0.09959
standard,,2026-04-17T16:49:10.308298,female,eastAsian,thirties,album,1.33572,0.77285,0.48847,0.31747,0.31131,0.37221,142.96839,0.27222,0.21353,5.24333,0.03364,0.13329,0.84267,0.31131,0.36551,3.31538,0.11523,0.10141
standard,,2026-04-17T16:48:40.933692,female,eastAsian,thirties,album,1.24596,0.77337,0.48634,0.33602,0.32954,0.33791,144.30143,0.26237,0.22026,6.06280,0.04009,0.13889,0.98529,0.32954,0.40538,5.17985,0.08490,0.08497
wide,,2026-04-17T16:48:20.818214,female,eastAsian,thirties,album,1.24838,0.81205,0.52284,0.28200,0.28500,0.43305,146.10276,0.25112,0.19446,4.49606,0.02729,0.14357,0.89410,0.28500,0.31794,-2.69757,0.14790,0.10103
wide,,2026-04-17T16:47:58.850373,female,eastAsian,thirties,album,1.22572,0.79823,0.50965,0.29096,0.29822,0.41100,146.98074,0.24459,0.20072,6.16970,0.02716,0.13487,1.05871,0.29822,0.44085,2.41529,0.14933,0.07772
wide,,2026-04-17T16:47:32.153801,female,eastAsian,thirties,album,1.18941,0.81871,0.52328,0.28865,0.34433,0.36710,137.88038,0.24443,0.20006,3.93769,0.03465,0.15026,1.11381,0.34433,0.40448,3.48515,0.06473,0.07000
standard,,2026-04-17T16:47:10.863525,female,eastAsian,thirties,album,0.99275,0.80048,0.51117,0.32298,0.33884,0.33828,139.99510,0.26253,0.21403,4.50499,0.04258,0.15642,1.00984,0.33884,0.38858,0.39398,0.10304,0.09987
standard,,2026-04-17T16:46:56.891846,female,eastAsian,thirties,album,1.23557,0.78068,0.49513,0.31140,0.31150,0.37724,142.28012,0.24692,0.20798,4.78837,0.03983,0.12732,0.89244,0.31150,0.35731,2.30341,0.09768,0.09748
standard,,2026-04-17T16:46:33.132473,female,eastAsian,thirties,album,1.16830,0.77896,0.48950,0.33205,0.32653,0.34175,139.00121,0.27036,0.21111,5.86148,0.04014,0.15854,0.95508,0.32653,0.36805,-14.58897,0.10937,0.09210
standard,,2026-04-17T16:46:12.912991,female,eastAsian,thirties,album,1.27682,0.73149,0.46899,0.32624,0.31877,0.35919,149.38131,0.26230,0.22125,5.95937,0.04086,0.15861,0.80595,0.31877,0.30681,5.27926,0.13000,0.09391
wide,,2026-04-17T16:45:46.664855,male,eastAsian,forties,album,1.19904,0.81209,0.51912,0.28352,0.29011,0.42892,138.04929,0.23202,0.18412,-0.50707,0.04213,0.16661,0.94971,0.29011,0.31390,-3.31890,0.11104,0.09644
wide,,2026-04-17T16:45:31.507994,male,eastAsian,forties,album,1.17660,0.81817,0.52350,0.28019,0.30181,0.41801,143.49852,0.22658,0.18717,3.40052,0.02897,0.13932,1.03185,0.30181,0.34354,6.07011,0.13992,0.08722
wide,,2026-04-17T16:45:19.969462,male,eastAsian,forties,album,1.25082,0.79584,0.51588,0.27140,0.29374,0.43488,146.38094,0.23904,0.19165,5.41882,0.02745,0.15970,0.92754,0.29374,0.31639,-0.10407,0.20389,0.08408
wide,,2026-04-17T16:44:50.000440,male,eastAsian,forties,album,1.22662,0.79996,0.50312,0.29375,0.29972,0.40677,144.06269,0.23296,0.19396,7.04004,0.02976,0.15216,1.07693,0.29972,0.41932,21.95722,0.13993,0.06951
wide,,2026-04-17T16:44:35.293602,male,eastAsian,forties,album,1.37094,0.79264,0.51374,0.28736,0.31367,0.39925,142.32945,0.25554,0.20589,2.30862,0.03520,0.15738,1.03493,0.31367,0.36986,43.77379,0.11808,0.10084
wide,,2026-04-17T16:44:14.723675,male,eastAsian,forties,album,1.19809,0.82403,0.53597,0.26989,0.29420,0.43603,137.98858,0.24044,0.18875,0.40023,0.03613,0.15157,0.94248,0.29420,0.30079,-5.93678,0.11498,0.09269
standard,,2026-04-17T16:40:37.545417,male,eastAsian,forties,album,1.11819,0.77653,0.48589,0.34207,0.34959,0.30878,141.95823,0.24510,0.20974,7.69548,0.04236,0.15143,0.94668,0.34959,0.33136,0.64153,0.09372,0.09027
standard,,2026-04-17T16:40:11.463765,male,eastAsian,forties,album,1.27864,0.78986,0.49751,0.31365,0.30662,0.37974,141.01539,0.24648,0.20548,4.17207,0.04056,0.13513,0.94455,0.30662,0.38013,9.51986,0.09212,0.09786
standard,,2026-04-17T16:39:48.303117,male,eastAsian,forties,album,1.37330,0.80694,0.52226,0.29453,0.30804,0.39793,140.42519,0.27186,0.20560,2.62304,0.03441,0.12226,0.95480,0.30804,0.36486,1.73259,0.11403,0.10406
standard,,2026-04-17T16:39:34.405877,male,eastAsian,forties,album,1.16548,0.79822,0.50732,0.32399,0.33317,0.34334,140.50244,0.26882,0.21068,5.37319,0.04029,0.14672,1.00400,0.33317,0.37697,7.02056,0.10963,0.10103
standard,,2026-04-17T16:39:12.351829,male,eastAsian,forties,album,1.10496,0.78630,0.49290,0.34296,0.34648,0.31089,139.72360,0.25986,0.20898,5.78431,0.04122,0.14114,0.99774,0.34648,0.37197,1.64416,0.09093,0.09057
long,,2026-04-17T16:38:45.862951,male,eastAsian,forties,album,1.17171,0.77776,0.49613,0.32350,0.34295,0.33636,142.86917,0.24573,0.20593,4.88634,0.04280,0.12854,1.05237,0.34295,0.37073,6.45761,0.11032,0.09732
long,,2026-04-17T16:38:24.944594,male,eastAsian,forties,album,1.38758,0.80050,0.52112,0.30370,0.34046,0.35696,142.97366,0.28728,0.21834,3.60578,0.03784,0.16288,1.04406,0.34046,0.41856,17.50334,0.09708,0.10096
long,,2026-04-17T16:38:05.437094,male,eastAsian,forties,album,1.30820,0.78915,0.50854,0.29992,0.30688,0.39403,141.99700,0.25241,0.20267,3.44631,0.03329,0.11836,1.03626,0.30688,0.38473,29.84449,0.10997,0.09739
long,,2026-04-17T16:37:15.557944,female,eastAsian,thirties,album,1.36312,0.78169,0.49562,0.31118,0.30166,0.38836,142.81677,0.26912,0.21093,4.37017,0.03329,0.13260,0.87222,0.30166,0.36993,5.08220,0.10926,0.11028
long,,2026-04-17T16:36:35.306408,female,eastAsian,thirties,album,1.32975,0.74289,0.47322,0.30750,0.30554,0.38732,143.64961,0.27058,0.21622,5.19860,0.03301,0.14563,0.81157,0.30554,0.34682,0.86190,0.14944,0.10335
long,,2026-04-17T16:36:20.767734,female,eastAsian,thirties,album,1.32130,0.78130,0.49179,0.30562,0.32356,0.37097,144.86868,0.26450,0.20808,3.96390,0.03465,0.14852,1.08820,0.32356,0.49331,17.51300,0.15428,0.05944
long,,2026-04-17T16:36:01.842408,female,eastAsian,thirties,album,1.36599,0.75869,0.47160,0.31521,0.32241,0.36409,144.34275,0.24622,0.20508,6.80366,0.03340,0.14292,0.91681,0.32241,0.36023,17.41733,0.13179,0.07777
long,,2026-04-17T16:35:47.892734,female,eastAsian,thirties,album,1.33098,0.76387,0.48654,0.31265,0.31602,0.37566,144.33354,0.25791,0.21502,4.60605,0.03827,0.14656,0.88314,0.31602,0.35903,1.44431,0.10465,0.10902
long,,2026-04-17T16:35:23.858040,female,eastAsian,thirties,album,1.36692,0.79879,0.51151,0.30466,0.32309,0.37367,141.43420,0.26758,0.21144,4.49316,0.03545,0.12086,0.92342,0.32309,0.38337,19.00234,0.10101,0.08748
long,,2026-04-17T16:35:06.335722,female,eastAsian,thirties,album,1.37626,0.80645,0.51271,0.29878,0.30413,0.39721,137.84244,0.25261,0.20320,3.76180,0.03297,0.11755,0.96835,0.30413,0.38543,1.83382,0.10363,0.10180
long,,2026-04-17T16:34:53.164868,female,eastAsian,thirties,album,1.30425,0.77470,0.49116,0.29123,0.30263,0.40680,142.50954,0.24116,0.20020,2.33152,0.03773,0.14153,1.12324,0.30263,0.47625,5.10513,0.15393,0.08199
